"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Understanding the motivations and barriers to adoption of environmentally sustainable activities around Kibale National Park, Uganda.","https://scispace.com/paper/40419278","2025","Journal Article","Folia primatologica; international journal of primatology","Ainebyona
Kendall
Flauro
John
Folta
Perry","10.1163/14219980-bja10048","","Kibale National Park (KNP) is a biodiversity hotspot. Covering 795 km2 it is home to the most diverse population of primates in Africa including 13 species and the largest populations of Eastern Chimpanzees (Pan troglodytes schweinfurthii) in East Africa. Rural communities around the park rely heavily on subsistence agriculture and natural resources that surround the park for survival. Population density near the park is greater than 300 people per kilometer, exacerbating pressure on natural resources around and within the park. UNITE for the Environment (UNITE) is a conservation organization working with KNP that provides communities with conservation education programs that address local environmental needs and promotes sustainable solutions to support the protection of this important primate habitat. In prior work, UNITE found considerable variation in how well these sustainable activities are adopted. To understand the factors that influence uptake of different sustainable practices by households, we conducted a community survey on participants' motivations and barriers. Results highlight a number of factors influencing adoption including education and awareness, access, convenience, economic and direct benefits associated with the practices as well as community influence. These results imply that efforts to promote the widespread adoption of sustainable practices should focus on creating more awareness on sustainable behaviors in the targeted communities, which can change their perceptions and attitudes towards the practices and emphasize the direct benefits that arise from adoption of such practices."
"An ichthyological borderland: The fishfauna of Nyungwe National Park and surroundings (Rwanda, East Africa).","https://scispace.com/paper/40830305","2025","Journal Article","Journal of fish biology","Maetens
Mukungilwa
Kasangaki
Boom
Nshimiyumuremyi
Munyandamutsa
Clausnitzer
Vranken
Snoeks
Van Steenberge","10.1111/jfb.70185","","Nyungwe National Park (NP) is a mountainous region situated in the southwestern part of Rwanda on Congo-Nile watershed. In spite of the high biodiversity in primates, birds and plants, no fish were reported to occur in the park, probably because of the cold temperatures of the rivers. An expedition in 2022 examined the fish diversity within the Nyungwe NP and its buffer zones. Additional sampling was performed in the main river draining the park into Lake Kivu: the Kamiranzovu. Three hundred and twenty specimens belonging to 13 species were collected. Specimens were collected only in the western part of the park, draining towards the Congo basin. The diversity within the park proper was limited to two putative species within the complex of Amphilius cf. kivuensis, which were caught on either side of the Kivu-Rusizi watershed. In contrast, a higher fish diversity, including one clariid species and two species of Enteromius, was observed in the rivers at a lower altitude of the buffer zone. However, the highest species diversity was found near the mouth of Kamiranzovu River, including 11 species, of which 4 were non-native: the guppy Poecilia reticulata, Astatotilapia burtoni, the blue-spotted tilapia Oreochromis leucosticus and the Egyptian mouth-brooder Pseudocrenilabrus multicolor."
"Differences in Genetic Diversity between Early Isolates of Yellow Fever Virus Genotypes.","https://scispace.com/paper/41392853","2025","Journal Article","Emerging microbes & infections","Lee
Hansen
Thompson
Hao
Bourne
Barrett","10.1080/22221751.2025.2601371","","Yellow fever virus (YFV) is the prototypical member of the genus "
"A new species of Simiolus from the middle Miocene of the Tugen Hills, Kenya.","https://scispace.com/paper/30502897","2018","Journal Article","Journal of human evolution","Rossie
Hill","10.1016/j.jhevol.2018.09.002","","A new species of the ""small-bodied ape"" Simiolus is described here that extends the temporal range of the genus to the end of the Middle Miocene. As such, it is one of the few species of fossil primates known from East Africa during a time of significant change in which Old World monkeys and crown hominoids replaced the primitive ape-like primates that had dominated the early Miocene. The dynamics of this important event in our evolutionary history are obscured by the small number of fossil primates known from Africa between 14 and 6 million years ago, as well as persistent ambiguity regarding the phylogenetic status of the ape-like Miocene primates. The new species described here helps to fill this temporal gap, and our analysis of its phylogenetic position suggests that Simiolus and many other Miocene primates were not only ape-like, they were, indeed, stem hominoids. Judging from the available material, the new species may be the smallest known ape."
"Nodule worm infection in humans and wild primates in Uganda: cryptic species in a newly identified region of human transmission.","https://scispace.com/paper/24421915","2014","Journal Article","PLoS neglected tropical diseases","Ghai
Chapman
Omeja
Davies
Goldberg","10.1371/journal.pntd.0002641","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3888470/pdf","Soil-transmitted helminths (STHs) are a major health concern in tropical and sub-tropical countries. Oesophagostomum infection is considered endemic to West Africa but has also been identified in Uganda, East Africa, among primates (including humans). However, the taxonomy and ecology of Oesophagostomum in Uganda have not been studied, except for in chimpanzees (Pan troglodytes), which are infected by both O. bifurcum and O. stephanostomum."
"Discovery and full genome characterization of two highly divergent simian immunodeficiency viruses infecting black-and-white colobus monkeys (Colobus guereza) in Kibale National Park, Uganda.","https://scispace.com/paper/24139306","2013","Journal Article","Retrovirology","Lauck
Switzer
Sibley
Hyeroba
Tumukunde
Weny
Taylor
Shankar
Ting
Chapman
Friedrich
Goldberg
O'Connor","10.1186/1742-4690-10-107","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4016034/pdf","African non-human primates (NHPs) are natural hosts for simian immunodeficiency viruses (SIV), the zoonotic transmission of which led to the emergence of HIV-1 and HIV-2. However, our understanding of SIV diversity and evolution is limited by incomplete taxonomic and geographic sampling of NHPs, particularly in East Africa. In this study, we screened blood specimens from nine black-and-white colobus monkeys (Colobus guereza occidentalis) from Kibale National Park, Uganda, for novel SIVs using a combination of serology and ""unbiased"" deep-sequencing, a method that does not rely on genetic similarity to previously characterized viruses."
"Genome-scale phylogenetic analyses of chikungunya virus reveal independent emergences of recent epidemics and various evolutionary rates.","https://scispace.com/paper/20410280","2010","Journal Article","Journal of virology","Volk
Chen
Tsetsarkin
Adams
Garcia
Sall
Nasar
Schuh
Holmes
Higgs
Maharaj
Brault
Weaver","10.1128/JVI.01603-09","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2903258/pdf","Chikungunya virus (CHIKV), a mosquito-borne alphavirus, has traditionally circulated in Africa and Asia, causing human febrile illness accompanied by severe, chronic joint pain. In Africa, epidemic emergence of CHIKV involves the transition from an enzootic, sylvatic cycle involving arboreal mosquito vectors and nonhuman primates, into an urban cycle where peridomestic mosquitoes transmit among humans. In Asia, however, CHIKV appears to circulate only in the endemic, urban cycle. Recently, CHIKV emerged into the Indian Ocean and the Indian subcontinent to cause major epidemics. To examine patterns of CHIKV evolution and the origins of these outbreaks, as well as to examine whether evolutionary rates that vary between enzootic and epidemic transmission, we sequenced the genomes of 40 CHIKV strains and performed a phylogenetic analysis representing the most comprehensive study of its kind to date. We inferred that extant CHIKV strains evolved from an ancestor that existed within the last 500 years and that some geographic overlap exists between two main enzootic lineages previously thought to be geographically separated within Africa. We estimated that CHIKV was introduced from Africa into Asia 70 to 90 years ago. The recent Indian Ocean and Indian subcontinent epidemics appear to have emerged independently from the mainland of East Africa. This finding underscores the importance of surveillance to rapidly detect and control African outbreaks before exportation can occur. Significantly higher rates of nucleotide substitution appear to occur during urban than during enzootic transmission. These results suggest fundamental differences in transmission modes and/or dynamics in these two transmission cycles."
"Stratigraphic interpretation of the Kulu Formation (Early Miocene, Rusinga Island, Kenya) and its implications for primate evolution.","https://scispace.com/paper/19427023","2009","Journal Article","Journal of human evolution","Peppe
McNulty
Cote
Harcourt-Smith
Dunsworth
Van Couvering","10.1016/j.jhevol.2009.02.006","","Early Miocene fossils from Rusinga Island, Kenya, provide some of the best evidence for catarrhine evolution and diversification, and, together with more than eighty-five other mammalian species, form an important comparative reference for understanding faunal succession in East Africa. While there is consensus over the stratigraphic position of most of Rusinga's volcaniclastic deposits, the lacustrine Kulu Formation has been placed in various parts of the geological sequence by different researchers. To resolve this discrepancy, we conducted detailed geological analyses which indicate that the Kulu Formation was formed in the Early Miocene during a period of volcanic inactivity and subsidence following the early, mainly explosive hyper-alkaline phase of the Kisingiri complex and prior to the final eruptions of nephelinitic lavas. The underlying Hiwegi and older formations were locally deformed and deeply eroded before sedimentation began in the Kulu basin, so that the Kulu sediments may be significantly younger than the 17.8 Ma Hiwegi Formation and not much older than the overlying Kiangata Agglomerata-Lunene Lava series, loosely dated to ca. 15 Ma. The overall similarities between Kulu and Hiwegi faunas imply long-term ecological stability in this region. Our stratigraphic interpretation suggests that the Kulu fauna is contemporaneous with faunas from West Turkana, implying that differences between these assemblages-particularly in the primate communities--reflect paleobiogeographic and/or paleocological differences. Finally, the position of the Kulu Formation restricts the time frame during which the substantial faunal turnover seen in the differences between the primate and mammalian communities of Rusinga and Maboko Islands could have occurred."
"Molecular diversity of entodiniomorphid ciliate Troglodytella abrassarti and its coevolution with chimpanzees.","https://scispace.com/paper/22576323","2012","Journal Article","American journal of physical anthropology","Vallo
Petrželková
Profousová
Petrášová
Pomajbíková
Leendertz
Hashimoto
Simmons
Babweteera
Machanda
Piel
Robbins
Boesch
Sanz
Morgan
Sommer
Furuichi
Fujita
Matsuzawa
Kaur
Huffman
Modrý","10.1002/ajpa.22067","","The entodiniomorphid ciliate Troglodytella abrassarti is a colonic mutualist of great apes. Its host specificity makes it a suitable model for studies of primate evolution. We explored molecular diversity of T. abrassarti with regard to large geographical distribution and taxonomic diversity of its most common host, the chimpanzee. We found a very low diversification of T. abrassarti in chimpanzees across Africa. Distribution of two types of T. abrassarti supports evolutionary separation of the Western chimpanzee, P. t. verus, from populations in Central and East Africa. Type I T. abrassarti is probably a derived form, which corresponds with the Central African origin of chimpanzees and a founder event leading to P. t. verus. Exclusivity of the respective types of T. abrassarti to Western and Central/Eastern chimpanzees corroborates the difference found between an introduced population of presumed Western chimpanzees on Rubondo Island and an autochthonous population in mainland Tanzania. The identity of T. abrassarti from Nigerian P. t. ellioti and Central African chimpanzees suggests their close evolutionary relationship. Although this contrasts with published mtDNA data, it corroborates current opinion on the exclusive position of P. t. verus within the chimpanzee phylogeny. The type of T. abrassarti occurring in Central and East African common chimpanzee was confirmed also in bonobos. This may point to the presence of an ancestral Type II found throughout the Lower Guinean rainforest dating back to the common Pan ancestor. Alternatively, the molecular uniformity of T. abrassarti may imply a historical overlap of the species' distribution ranges."
"Re-analysis of a human hepatitis B virus (HBV) isolate from an East African wild born Pan troglodytes schweinfurthii: evidence for interspecies recombination between HBV infecting chimpanzee and human.","https://scispace.com/paper/15777724","2005","Journal Article","Gene","Magiorkinis
Magiorkinis
Paraskevis
Hatzakis","10.1016/j.gene.2004.12.021","","According to current estimates, hepatitis B virus (HBV) has infected 2 billion people worldwide and among them, 360 million suffer from chronic HBV infection. Except humans, HBV or HBV-like viruses have also been isolated from different species of apes and mammals. Although recombination has been described to occur extensively between different genotypes within the human HBV lineage, no recombination event has ever been reported between human and non-human primate HBV sequences. It was our objective to perform an exhaustive search for recombination between human and non-human primate HBV strains among all available full-length human and non-human primate HBV sequences, using bootscanning and phylogenetic analyses. Intriguingly, we found that an HBV sequence isolated from a wild born Pan troglodytes schweinfurthii in East Africa-FG-is a recombinant consisting of HBV infecting chimpanzee (ChHBV) and human genotype C. More specifically, in a fragment of approximately 500 nt (positions 551-1050 spanning half of the RT domain of pol, which overlaps with half of the coding region of the small surface protein), FG grouped with HBV genotype C, while in the rest of the genome it grouped with ChHBV sequences. Phylogenetic analyses showed that in the latter region FG was more closely related to the Pan troglodytes troglodytes subspecies, forming an outlier to this group. Moreover, we show evidence that the recombination event occurred after the initial dispersion of HBV genotype C in humans. Finally, our findings point out that although rare recombination between HBV viruses infecting different species occurs."
"Taxonomy and phylogenetic relationships of early Miocene catarrhines from Sihong, China.","https://scispace.com/paper/10444352","1999","Journal Article","Journal of human evolution","Harrison
Yumin","10.1006/jhev.1999.0310","","Paleontological investigations at sites in Sihong County, Jiangsu Province, China since 1981 have yielded a sizeable collection of previously undescribed fossil catarrhines from the Xiacaowan Formation. The associated vertebrate fauna indicates a late early Miocene age (correlating with MN 4, late Orleanian of Europe, approximately 17-18 Ma), which establishes the Sihong primates as the earliest known catarrhines from Eurasia. The fossil primates are assigned to two species: Dionysopithecus shuangouensis Li, 1978 and Platodontopithecus jianghuaiensis Gu & Lin, 1983. Although the new material from Sihong consists mainly of isolated teeth, it does provide important new information on the anatomy of Dionysopithecus and Platodontopithecus that helps to clarify their phylogenetic and taxonomic status. Previous studies have suggested that the Sihong catarrhines might be closely related to the proconsulids from the early Miocene of East Africa. However, with more extensive material available for comparison, the Sihong primates can now be shown to share a number of key derived features with pliopithecids. This new evidence helps to resolve a longstanding problem concerning the origins of the Pliopithecidae. It was previously considered that specialized pliopithecids migrated into Europe during MN 5, originating from an unknown antecedent and location in Africa. Recognition that the Sihong primates have affinities with pliopithecids, but are more primitive, suggests that the initial differentiation and diversification of the clade may have taken place in Asia rather than Africa. The earliest Eurasian catarrhines probably migrated into tropical Asia as part of a major faunal interchange with Africa that occurred during MN 3."
"Middle Miocene dispersals of apes.","https://scispace.com/paper/17855786","2007","Journal Article","Folia primatologica; international journal of primatology","Andrews
Kelley","10.1159/000105148","","The earliest record of fossil apes outside Africa is in the latest early Miocene of Turkey and eastern Europe. There were at least 2, and perhaps 4, species of ape, which were found associated with subtropical mixed environments of forest and more open woodland. Postcranial morphology is similar to that of early Miocene primates and indicates mainly generalized arboreal quadrupedal behaviours similar to those of less specialized New World monkeys such as Cebus. Robust jaws and thick enamelled teeth indicate a hard fruit diet. The 2 best known species of fossil ape are known from the site of Paşalar in Turkey. They have almost identical molar and jaw morphology. Molar morphology is also similar to that of specimens from Germany and Slovakia, but there are significant differences in the anterior teeth of the 2 Paşalar species. The more common species, Griphopithecus alpani, shares mainly primitive characters with early and middle Miocene apes in Africa, and it is most similar phenetically to Equatorius africanus from Maboko Island and Kipsaramon. The second species is assigned to a new species of Kenyapithecus, an African genus from Fort Ternan in Kenya, on the basis of a number of shared derived characters of the anterior dentition, and it is considered likely that there is a phylogenetic link between them. The African sites all date from the middle Miocene, similar in age to the Turkish and European ones, and the earliest emigration of apes from Africa coincides with the closure of the Tethys Sea preceding the Langhian transgression. Environments indicated for the African sites are mixtures of seasonal woodlands with some forest vegetation. The postcrania of both African taxa again indicate generalized arboreal adaptation but lacking specialized arboreal function. This middle Miocene radiation of both African and non-African apes was preceded by a radiation of arboreal catarrhine primates in the early Miocene, among which were the earliest apes. The earliest Miocene apes in the genus Proconsul and Rangwapithecus were arboreal, and because of their association with the fruits of evergreen rain forest plants at Mfwangano Island, it would appear that they were forest adapted, i.e. were living in multi-storied evergreen forest. The same or similar species of the same genera from Rusinga Island, together with other genera such as Nyanzapithecus and the small ape Limnopithecus, were associated with plants and animals indicating seasonal woodland environments, probably with gallery forest forming corridors alongside rivers. While the stem ancestors of the Hominoidea were almost certainly forest adapted, the evidence of environments associated with apes in the later part of the early Miocene and the middle Miocene of East Africa indicates more seasonal woodlands, similar to those reconstructed for the middle Miocene of Paşalar in Turkey. This environmental shift was probably a requisite for the successful emigration of apes out of Africa and made possible later movement between the continents for much of the middle Miocene, including possible re-entry of at least one ape lineage back into Africa."
"Evolutionary history of lorisiform primates.","https://scispace.com/paper/9595692","1998","Journal Article","Folia primatologica; international journal of primatology","Rasmussen
Nekaris","10.1159/000052716","","We integrate information from the fossil record, morphology, behavior and molecular studies to provide a current overview of lorisoid evolution. Several Eocene prosimians of the northern continents, including both omomyids and adapoids, have been suggested as possible lorisoid ancestors, but these cannot be substantiated as true strepsirhines. A small-bodied primate, Anchomomys, of the middle Eocene of Europe may be the best candidate among putative adapoids for status as a true strepsirhine. Recent finds of Eocene primates in Africa have revealed new prosimian taxa that are also viable contenders for strepsirhine status. Plesiopithecus teras is a Nycticebussized, nocturnal prosimian from the late Eocene, Fayum, Egypt, that shares cranial specializations with lorisoids, but it also retains primitive features (e.g. four premolars) and has unique specializations of the anterior teeth excluding it from direct lorisiform ancestry. Another unnamed Fayum primate resembles modern cheirogaleids in dental structure and body size. Two genera from Oman, Omanodon and Shizarodon, also reveal a mix of similarities to both cheirogaleids and anchomomyin adapoids. Resolving the phylogenetic position of these Africa primates of the early Tertiary will surely require more and better fossils. By the early to middle Miocene, lorisoids were well established in East Africa, and the debate about whether these represent lorisines or galagines is reviewed. Neontological data are used to address the controversial branching sequences among extent lorisid clades. Data from the skin and scent glands, when integrated with other lines of evidence, suggest that Asian and African lorisines share a common lorisine ancestry. The hypothesis of an African clade containing both pottos and galagos to the exclusion of Asian lorisines is less tenable. True galagines are found in the fossil record of Namibia, while true lorisines are known from the Miocene of Asia. The hypothetical branching sequences can be integrated with behavioral and morphological features to develop an adaptive model of lorisoid divergence. By specializing on two different foraging modes early in their radiation, lorisines and galagines subsequently underwent a chain of integrated evolutionary changes eventually having an impact on many components of locomotor behavior, anatomy, physiology, reproduction, life history, and social behavior. Ongoing evolutionary studies of extant galagines are illuminating population phenomena and processes of speciation in an ecological context."
"A taxonomic revision of the small catarrhine primates from the early Miocene of East Africa.","https://scispace.com/paper/3234984","1988","Journal Article","Folia primatologica; international journal of primatology","Harrison","10.1159/000156334","","This paper presents a detailed systematic revision of the small catarrhine primates from the early Miocene of East Africa, recovered from sites in Western Kenya and in Uganda dated at between 22 and 17 m.y. Revised diagnoses and amended hypodigms for each of the species are presented. In addition to the currently identified taxa, Limnopithecus legetet Hopwood, 1933, Dendropithecus macinnesi (Le Gros Clark and Leakey, 1950) and Micropithecus clarki Fleagle and Simons, 1978, two further species are recognized. Limnopithecus evansi (MacInnes, 1943) is resurrected as a valid species, based primarily on previously described material from Songhor, and a new genus, Kalepithecus, is described here for the first time, in order to accommodate distinctive material from Songhor and Koru. The distribution of each species in time and space, and the phylogenetic relationships, are discussed in the light of this taxonomic revision."